id,name_levenshtein_simple,name_trigram_simple,name_levenshtein_term,name_trigram_term,city_levenshtein_simple,city_trigram_simple,city_levenshtein_term,city_trigram_term,zip_levenshtein_simple,zip_trigram_simple,zip_levenshtein_term,zip_trigram_term,street_levenshtein_simple,street_trigram_simple,street_levenshtein_term,street_trigram_term,website_levenshtein_simple,website_trigram_simple,website_levenshtein_term,website_trigram_term,phone_levenshtein,phone_trigram,fax_levenshtein,fax_trigram,street_number_levenshtein,street_number_trigram,phone_equality,fax_equality,street_number_equality,is_match
598#612,0.373214,0.046875,0.26087,0.027027,1,1,1,1,1,1,1,1,0.414881,0.25,0.269231,0.0540541,?,?,?,?,0.545454545455,0.333333343267,?,?,1.0,1.0,n,m,s,-1
2202#2204,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0.857143,0.857143,0.823529,0.823529,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
2574#2575,0.857143,0.857143,0.769231,0.875,1,1,1,1,0.8,0.571429,0.8,0.571429,1,1,1,1,?,?,?,?,0.454545454545,0.20000000298,?,?,1.0,1.0,n,m,s,1
8782#8776,0.379841,0.138052,0.25,0.12963,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
999#1002,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
9217#9218,0.171429,0.0419048,0.2,0.0689655,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.166666666667,0.0833333358169,?,?,0.6,0.333333343267,n,m,n,-1
5574#5581,0.923077,0.923077,0.6,0.857143,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1250#1266,0.107143,0.0,0.181818,0.0,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,1,?,?,?,?,1.0,1.0,m,m,s,1
8996#9000,0.533333,0.426667,0.543478,0.41176499999999994,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
2495#2496,0.28571399999999997,0.28571399999999997,0.18918900000000002,0.216216,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3897#3898,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
3573#3574,0.8888889999999999,0.8888889999999999,0.8888889999999999,0.892857,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1572#1573,0.625,0.466667,0.8888889999999999,0.583333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
8693#8694,0.513228,0.44444399999999995,0.517241,0.333333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.6,0.333333343267,m,m,n,-1
6810#6811,1.0,1.0,0.166667,1.0,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,0.285714285714,0.181818187237,s,m,n,1
9089#9081,0.857143,0.857143,0.777778,0.785714,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3654#3665,0.25396799999999997,0.0,0.294118,0.0,1,1,1,1,1,1,1,1,0.171825,0.0147059,0.208333,0.0217391,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
1825#1830,0.8,0.75,0.708333,0.62069,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3673#3676,0.271726,0.041666699999999994,0.25,0.0263158,1,1,1,1,1,1,1,1,0.566071,0.5,0.36,0.194444,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,-1
12205#12206,0.428571,0.333333,0.263158,0.321429,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.272727272727,0.095238097012,?,?,0.5,0.25,n,m,n,-1
4029#4031,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,-1
203#207,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0.8,0.8,0.916667,0.785714,?,?,?,?,?,?,?,?,0.5,0.25,m,m,n,1
8171#8180,0.240774,0.07142860000000001,0.152174,0.0344828,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,-1
6815#6819,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
401#407,0.465476,0.388889,0.282609,0.24074099999999998,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
2784#2797,0.703704,0.694444,0.757576,0.714286,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1254#1275,0.666667,0.666667,0.9,0.782609,0.833333,0.333333,1,1,?,?,?,?,0.138889,0.0222222,0.15,0.0277778,?,?,?,?,?,?,?,?,?,?,m,m,n,1
8794#8795,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,0.705128,0.675,0.375,0.355556,0.666666666667,0.444444447756,?,?,1.0,1.0,n,m,s,1
3113#3114,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
3474#3480,0.166667,0.0,0.2,0.0,1,1,1,1,1,1,1,1,0.266799,0.0444444,0.190476,0.025,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
11430#11431,0.398854,0.222306,0.315789,0.232558,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.5,0.25,m,m,n,-1
5569#5571,0.818182,0.75,0.769231,0.702703,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1392#1412,0.8,0.8,0.875,0.882353,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
1821#1826,0.8888889999999999,0.8888889999999999,0.8,0.793103,0.666667,0.666667,0.454545,0.5,1,1,1,1,0.857143,0.857143,0.842105,0.85,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3883#3885,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
2250#2257,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
2014#2026,1.0,1.0,0.333333,1.0,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
10102#10095,0.371528,0.1,0.208333,0.09677419999999999,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
40#41,0.8,0.8,0.5853659999999999,0.595238,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1.0,1.0,?,?,?,?,s,m,n,1
2337#2338,0.857143,0.857143,0.76,0.76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1491#1493,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0.857143,0.857143,0.592593,0.62963,?,?,?,?,0.916666666667,0.625,?,?,1.0,1.0,n,m,s,1
1122#1133,0.5,0.5,0.372093,0.566667,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
3637#3561,0.303704,0.08888889999999999,0.25,0.054054099999999994,1,1,1,1,0.8,0.333333,0.8,0.333333,0.216667,0.0558824,0.210526,0.09375,?,?,?,?,0.454545454545,0.263157904148,?,?,?,?,n,m,n,-1
1942#1944,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
1866#1869,0.730159,0.701299,0.642857,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
2193#2225,1.0,1.0,0.92,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
7999#8001,0.133929,0.055555600000000004,0.14285699999999998,0.04,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
2100#2103,0.666667,0.666667,0.583333,0.6153850000000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
1414#1405,0.48,0.4,0.3,0.391304,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1221#1223,0.8888889999999999,0.814815,0.740741,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
3698#3700,0.255952,0.030906599999999996,0.166667,0.04,1,1,1,1,0.8,0.333333,0.8,0.333333,0.227551,0,0.181818,0,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
4179#4180,0.262585,0.07256239999999999,0.22222199999999998,0.055555600000000004,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,-1
8910#8909,0.5,0.5,0.478261,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
3707#3690,0.257143,0.0347985,0.2,0.027027,1,1,1,1,1,1,1,1,0.353175,0.285714,0.333333,0.133333,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
2456#2455,1.0,1.0,1.0,1.0,1,1,1,1,?,?,?,?,0.666667,0.666667,0.466667,0.625,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
1223#1232,0.9642860000000001,0.916667,0.9545450000000001,0.875,0.611111,0.222222,0.5,0.545455,?,?,?,?,0.7,0.65,0.695652,0.7,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
1131#1137,1.0,1.0,1.0,1.0,1,1,1,1,?,?,?,?,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
15062#15063,0.541667,0.404762,0.17647100000000002,0.428571,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
1267#1280,0.5,0.5,0.35,0.380952,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3897#3900,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
4114#4119,0.46031700000000003,0.303704,0.321429,0.257143,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.4,0.222222223878,m,m,n,-1
5833#5834,0.663333,0.47053599999999995,0.6,0.380952,1,1,1,1,?,?,?,?,0.673469,0.571429,0.73913,0.466667,?,?,?,?,0.636363636364,0.411764711142,?,?,?,?,n,m,n,-1
2445#2447,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
140#153,0.5222220000000001,0.44444399999999995,0.59375,0.340909,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3483#3495,0.162698,0.0,0.19230799999999998,0.0,1,1,1,1,1,1,1,1,0.373016,0.0850549,0.310345,0.08,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
141#147,0.5428569999999999,0.44444399999999995,0.28571399999999997,0.363636,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
12833#12834,0.178571,0.0238095,0.227273,0.027777800000000002,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.5,0.29411765933,?,?,0.5,0.20000000298,n,m,n,-1
8029#8036,0.45238100000000003,0.342857,0.56,0.324324,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
8249#8253,0.316071,0.15428599999999998,0.27907,0.166667,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
9052#9053,0.857143,0.857143,0.8421049999999999,0.85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,0.75,0.428571432829,s,m,n,1
13749#13750,0.2,0.0222222,0.28571399999999997,0.03125,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
4331#4342,0.666667,0.666667,0.6,0.6153850000000001,0.666667,0.666667,0.428571,0.466667,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
3683#3684,0.323129,0.11428599999999998,0.157895,0.057142899999999996,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,-1
7302#7312,0.225,0.020408199999999998,0.21052600000000002,0.027027,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
998#1000,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
4346#4344,0.4,0.4,0.36,0.384615,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
6485#6486,0.8401360000000001,0.761905,0.681818,0.608696,1,1,1,1,1,1,1,1,0.666667,0.666667,0.583333,0.5625,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,1
15030#15035,0.387879,0.15725999999999998,0.263158,0.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,-1
642#637,0.857143,0.857143,0.473684,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
3482#3475,0.22633899999999998,0.08988099999999999,0.25,0.07894739999999999,1,1,1,1,1,1,1,1,0.180952,0.0763636,0.181818,0.0789474,?,?,?,?,0.545454545455,0.263157904148,?,?,0.5,0.285714298487,n,m,n,-1
1133#1137,0.5,0.5,0.372093,0.566667,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
799#737,0.826923,0.765035,0.680851,0.780488,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
8950#8958,0.571429,0.571429,0.3125,0.34375,0.666667,0.666667,0.5,0.545455,1,1,1,1,0.861111,0.755556,0.909091,0.833333,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
1125#1124,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1421#1420,0.5,0.5,0.388889,0.333333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
2462#2476,0.8,0.8,0.576923,0.6153850000000001,?,?,?,?,?,?,?,?,?,?,?,?,0.84127,0.810458,0.964286,0.83871,?,?,?,?,1.0,1.0,m,m,s,1
1147#1168,0.566667,0.420833,0.571429,0.52381,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
9612#9613,0.714286,0.703704,0.0909091,0.666667,0.5,0.5,0.4375,0.470588,0.25,0,0.25,0,1,1,1,1,?,?,?,?,?,?,?,?,?,?,m,m,n,1
1919#1923,1.0,1.0,0.294118,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
8028#8033,0.389815,0.20786999999999997,0.325,0.0983607,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
5859#5861,0.8,0.8,0.6,0.666667,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
14544#12460,0.67,0.5220779999999999,0.37931,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.666666666667,0.333333343267,m,m,n,-1
1865#1873,0.430159,0.22222199999999998,0.22222199999999998,0.17647100000000002,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
5893#5894,0.38244,0.25,0.272727,0.157895,1,1,1,1,1,1,1,1,0.75,0.7,0.625,0.576923,0.75,0.75,0.5,0.317073,0.5,0.238095238805,?,?,0.5,0.25,n,m,n,-1
631#632,0.666667,0.666667,0.535714,0.56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
8968#8977,1.0,1.0,1.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
21#393,0.145833,0.0,0.07142860000000001,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,1
137#141,0.5428569999999999,0.44444399999999995,0.28571399999999997,0.363636,1,1,1,1,?,?,?,?,0.333333,0.285714,0.384615,0.173913,?,?,?,?,1.0,1.0,?,?,0.5,0.285714298487,s,m,n,1
3663#3665,0.055555600000000004,0.0,0.117647,0.0,1,1,1,1,1,1,1,1,0.24881,0.0178571,0.166667,0.0465116,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
697#698,0.6527470000000001,0.545455,0.395833,0.395833,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
6393#6394,0.132143,0.0266667,0.136364,0.0263158,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,-1
965#966,0.8888889999999999,0.8888889999999999,0.8604649999999999,0.857143,0.571429,0.363636,0.571429,0.363636,0.666667,0.571429,0.666667,0.4,0.857143,0.857143,0.65625,0.666667,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
1093#1101,0.666667,0.666667,0.448276,0.482759,0.666667,0.666667,0.454545,0.5,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,1
280#283,0.857143,0.857143,0.807692,0.814815,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,1
